titulo,ano,calificacion,duracion
1. Sueño de fuga,1994,9.3,2h 22m
2. El padrino,1972,9.2,2h 55m
3. Batman: El caballero de la noche,2008,9.0,2h 32m
4. El padrino (parte II),1974,9.0,3h 22m
5. 12 hombres en pugna,1957,9.0,1h 36m
6. El señor de los anillos: El retorno del rey,2003,9.0,3h 21m
7. La Lista de Schindler,1993,9.0,3h 15m
8. Tiempos violentos,1994,8.9,2h 34m
9. El señor de los anillos: La comunidad del anillo,2001,8.9,2h 58m
"10. El bueno, el malo y el feo",1966,8.8,2h 41m
11. Forrest Gump,1994,8.8,2h 22m
12. El señor de los anillos: Las dos torres,2002,8.8,2h 59m
13. El club de la pelea,1999,8.8,2h 19m
14. El origen,2010,8.8,2h 28m
15. El imperio contraataca,1980,8.7,2h 4m
16. Matrix,1999,8.7,2h 16m
17. Buenos muchachos,1990,8.7,2h 25m
18. Atrapado sin salida,1975,8.7,2h 13m
19. Interestelar,2014,8.7,2h 49m
20. Seven,1995,8.6,2h 7m
21. ¡Qué bello es vivir!,1946,8.6,2h 10m
22. Los siete samuráis,1954,8.6,3h 27m
23. El silencio de los inocentes,1991,8.6,1h 58m
24. Rescatando al soldado Ryan,1998,8.6,2h 49m
25. Ciudad de Dios,2002,8.6,2h 10m
26. Milagros inesperados,1999,8.6,3h 9m
27. La vida es bella,1997,8.6,1h 56m
28. Terminator 2: Juicio final,1991,8.6,2h 17m
29. La guerra de las galaxias,1977,8.6,2h 1m
30. Volver al futuro,1985,8.5,1h 56m
31. El viaje de Chihiro,2001,8.6,2h 4m
32. El pianista,2002,8.5,2h 30m
33. Parásitos,2019,8.5,2h 12m
34. Gladiador,2000,8.5,2h 35m
35. Psicosis,1960,8.5,1h 49m
36. El rey león,1994,8.5,1h 28m
37. Los infiltrados,2006,8.5,2h 31m
38. Spider-Man: A Través Del Spider-Verso,2023,8.6,2h 20m
39. La tumba de las luciérnagas,1988,8.5,1h 28m
40. Whiplash. Música y obsesión,2014,8.5,1h 46m
41. Historia americana X,1998,8.5,1h 59m
42. El perfecto asesino,1994,8.5,1h 50m
43. El gran truco,2006,8.5,2h 10m
44. Harakiri,1962,8.6,2h 13m
45. Casablanca,1942,8.5,1h 42m
46. Sospechosos comunes,1995,8.5,1h 46m
47. Amigos,2011,8.5,1h 52m
48. Cinema Paradiso,1988,8.5,2h 54m
49. Duna: Parte Dos,2024,8.5,2h 46m
50. Tiempos modernos,1936,8.5,1h 27m
"51. Alien, el octavo pasajero",1979,8.5,1h 57m
52. La ventana indiscreta,1954,8.5,1h 52m
53. Érase una vez en el oeste,1968,8.5,2h 46m
54. Django sin cadenas,2012,8.5,2h 45m
55. Luces de la ciudad,1931,8.5,1h 27m
56. Apocalipsis,1979,8.4,2h 27m
57. Amnesia,2000,8.4,1h 53m
58. WALL·E,2008,8.4,1h 38m
59. Los cazadores del arca perdida,1981,8.4,1h 55m
60. La vida de los otros,2006,8.4,2h 17m
61. 12th Fail,2023,8.8,2h 27m
62. El ocaso de una vida,1950,8.4,1h 50m
63. Avengers: Infinity War,2018,8.4,2h 29m
64. Spider-Man: Un nuevo universo,2018,8.4,1h 57m
65. Patrulla infernal,1957,8.4,1h 28m
66. Testigo de cargo,1957,8.4,1h 56m
67. El resplandor,1980,8.4,2h 26m
68. El gran dictador,1940,8.4,2h 5m
69. Alien 2: El regreso,1986,8.4,2h 17m
70. Bastardos sin gloria,2009,8.4,2h 33m
71. Batman: El caballero de la noche asciende,2012,8.4,2h 44m
72. Coco,2017,8.4,1h 45m
73. Amadeus,1984,8.4,2h 40m
74. Toy Story,1995,8.3,1h 21m
75. Dr. Insólito,1964,8.3,1h 35m
76. Cinco días para vengarse,2003,8.3,Desconocido
77. Belleza americana,1999,8.3,2h 2m
78. Avengers: Endgame,2019,8.4,3h 1m
79. El submarino,1981,8.4,2h 29m
80. Mente indomable,1997,8.3,2h 6m
81. Corazón valiente,1995,8.3,2h 58m
82. La princesa Mononoke,1997,8.3,2h 13m
83. Your Name.,2016,8.4,1h 46m
84. Cielo e infierno,1963,8.4,2h 23m
85. Guasón,2019,8.4,2h 2m
86. 3 Idiots,2009,8.4,2h 50m
87. Érase una vez en América,1984,8.3,3h 49m
88. Cantando bajo la lluvia,1952,8.3,1h 43m
89. Cafarnaúm: la ciudad olvidada,2018,8.4,2h 6m
90. Ven y mira,1985,8.3,2h 22m
91. Réquiem por un sueño,2000,8.3,1h 42m
92. Toy Story 3,2010,8.3,1h 43m
93. El regreso del jedi,1983,8.3,2h 11m
94. La caza,2012,8.3,1h 55m
95. Eterno resplandor de una mente sin recuerdos,2004,8.3,1h 48m
96. Vivir,1952,8.3,2h 23m
97. 2001. Odisea del espacio,1968,8.3,2h 29m
98. Perros de reserva,1992,8.3,1h 39m
99. Lawrence de Arabia,1962,8.3,3h 47m
100. Piso de soltero,1960,8.3,2h 5m
101. La mujer que cantaba,2010,8.3,2h 11m
102. Caracortada,1983,8.3,2h 50m
103. Intriga Internacional,1959,8.3,2h 16m
104. Pacto de sangre,1944,8.3,1h 47m
105. El Ciudadano Kane,1941,8.3,1h 59m
106. M el Maldito,1931,8.3,1h 57m
107. Fuego contra fuego,1995,8.3,2h 50m
108. Vértigo,1958,8.3,2h 8m
109. Cara de guerra,1987,8.2,1h 56m
110. Oppenheimer,2023,8.3,Desconocido
"111. Up, una aventura de altura",2009,8.3,1h 36m
112. Amélie,2001,8.3,2h 2m
113. Naranja mecánica,1971,8.2,2h 16m
114. Matar a un Ruiseñor,1962,8.3,2h 9m
115. Una separación,2011,8.3,2h 3m
116. El golpe,1973,8.3,2h 9m
117. Duro de matar,1988,8.2,2h 12m
118. Like stars on Earth,2007,8.3,2h 42m
119. Indiana Jones y la última cruzada,1989,8.2,2h 7m
120. Metrópolis,1927,8.3,2h 33m
121. Snatch. Cerdos y diamantes,2000,8.2,1h 44m
122. 1917,2019,8.2,1h 59m
123. Los Ángeles al desnudo,1997,8.2,2h 18m
124. Ladrones de bicicletas,1948,8.3,1h 29m
125. La caída,2004,8.2,2h 36m
126. Taxi Driver,1976,8.2,1h 54m
127. Hamilton,2020,8.3,2h 40m
128. Dangal,2016,8.3,2h 41m
129. El lobo de Wall Street,2013,8.2,Desconocido
130. Batman inicia,2005,8.2,2h 20m
131. Por unos dólares más,1965,8.2,2h 12m
132. Green Book. Una amistad sin fronteras,2018,8.2,2h 10m
133. Una Eva y dos Adanes,1959,8.2,2h 1m
134. The Truman Show. Historia de una vida,1998,8.2,1h 43m
135. Juicio en Nuremberg,1961,8.3,2h 59m
136. El chico,1921,8.2,1h 8m
137. El padre,2020,8.2,1h 37m
138. La isla siniestra,2010,8.2,2h 18m
139. La malvada,1950,8.2,2h 18m
140. Petróleo sangriento,2007,8.2,2h 38m
141. Parque jurásico,1993,8.2,2h 7m
142. Casino,1995,8.2,2h 58m
143. Top Gun: Maverick,2022,8.2,2h 10m
144. El sexto sentido,1999,8.2,1h 47m
145. Ran,1985,8.2,2h 40m
146. El laberinto del fauno,2006,8.2,1h 58m
147. Sin lugar para los débiles,2007,8.2,2h 2m
148. Los imperdonables,1992,8.2,2h 10m
149. La cosa del otro mundo,1982,8.2,1h 49m
150. Una mente brillante,2001,8.2,2h 15m
151. Kill Bill. La venganza (volumen 1),2003,8.2,1h 51m
152. El tesoro de la Sierra Madre,1948,8.2,2h 6m
153. Yojimbo,1961,8.2,1h 50m
154. Robot Salvaje,2024,8.3,1h 42m
155. Intriga,2013,8.2,2h 33m
156. Buscando a Nemo,2003,8.2,1h 40m
157. El gran escape,1963,8.2,2h 52m
158. Monty Python y el santo grial,1975,8.2,1h 31m
159. Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,8.8,1h 27m
160. El increíble castillo vagabundo,2004,8.2,1h 59m
161. El hombre elefante,1980,8.2,2h 4m
162. Rashomon,1950,8.2,1h 28m
163. Con M de Muerte,1954,8.2,1h 45m
164. Lo que el viento se llevó,1939,8.2,3h 58m
165. Barrio Chino,1974,8.1,2h 10m
166. El secreto de sus ojos,2009,8.2,2h 9m
"167. Juegos, trampas y dos pistolas humeantes",1998,8.1,1h 47m
168. Intensa Mente,2015,8.1,1h 35m
169. V de venganza,2005,8.1,2h 12m
170. Tres anuncios por un crimen,2017,8.1,1h 55m
171. El toro salvaje,1980,8.1,2h 9m
172. Klaus,2019,8.2,1h 36m
173. El puente sobre el río Kwai,1957,8.1,2h 41m
174. Trainspotting: La vida en el abismo,1996,8.1,1h 33m
175. Atrápame si puedes,2002,8.1,2h 21m
176. Fargo. Secuestro voluntario,1996,8.1,1h 38m
177. La última pelea,2011,8.1,2h 20m
178. Spider-Man: Sin Camino A Casa,2021,8.2,2h 28m
179. Gran Torino,2008,8.1,1h 56m
180. Harry Potter y las reliquias de la muerte (parte 2),2011,8.1,2h 10m
181. Golpes del destino,2004,8.1,2h 12m
182. Mi vecino Totoro,1988,8.1,1h 26m
183. Mad Max: Furia en el camino,2015,8.1,Desconocido
184. Ben-Hur,1959,8.1,3h 32m
185. Los niños del cielo,1997,8.2,1h 29m
186. Barry Lyndon,1975,8.1,3h 5m
187. 12 años esclavo,2013,8.1,2h 14m
188. Blade Runner,1982,8.1,1h 57m
189. Antes del amanecer,1995,8.1,1h 41m
190. El gran hotel Budapest,2014,8.1,1h 39m
191. Hasta el último hombre,2016,8.1,2h 19m
192. La sociedad de los poetas muertos,1989,8.1,2h 8m
193. Perdida,2014,8.1,2h 29m
194. Salinui chueok,2003,8.1,2h 11m
195. Maharaja,2024,8.5,2h 21m
196. En el nombre del padre,1993,8.1,2h 13m
197. La quimera del oro,1925,8.1,1h 35m
"198. Monsters, Inc.",2001,8.1,1h 32m
199. Relatos salvajes,2014,8.1,2h 2m
200. Ratatouille,2007,8.1,1h 51m
201. Cómo entrenar a tu dragón,2010,8.1,1h 38m
202. El francotirador,1978,8.1,3h 3m
203. Tiburón,1975,8.1,2h 4m
204. Sherlock Jr.,1924,8.2,Desconocido
205. La General,1926,8.1,1h 18m
206. Mary and Max,2009,8.1,1h 32m
207. Nido de ratas,1954,8.1,1h 48m
208. El salario del miedo,1953,8.1,2h 36m
209. Contra lo imposible,2019,8.1,2h 32m
210. Fresas silvestres,1957,8.1,1h 32m
211. Caballero sin espada,1939,8.1,2h 9m
212. El tercer hombre,1949,8.1,1h 44m
213. Logan. Wolverine,2017,8.1,2h 17m
214. Rocky,1976,8.1,Desconocido
215. Cuentos de Tokio,1953,8.1,2h 16m
216. El gran Lebowski: Identidad peligrosa,1998,8.1,1h 57m
217. El séptimo sello,1957,8.1,1h 36m
218. En primera plana,2015,8.1,2h 9m
219. La Habitacion,2015,8.1,1h 58m
220. Terminator,1984,8.1,1h 47m
221. Hotel Ruanda,2004,8.1,2h 1m
222. Pelotón,1986,8.1,Desconocido
223. Piratas del Caribe: La maldición de la Perla Negra,2003,8.1,2h 23m
224. El odio,1995,8.1,1h 38m
225. Jai Bhim,2021,8.7,2h 44m
226. Antes del atardecer,2004,8.1,1h 20m
227. La pasión de Juana de Arco,1928,8.1,1h 50m
228. Los mejores años de nuestras vidas,1946,8.1,2h 50m
229. El exorcista,1973,8.1,2h 2m
230. El mago de Oz,1939,8.1,1h 42m
231. Rush: Pasión y gloria,2013,8.1,2h 3m
232. Los increíbles,2004,8.0,1h 55m
233. Poder que mata,1976,8.1,2h 1m
234. Cuenta conmigo,1986,8.1,1h 29m
235. Siempre a tu lado,2009,8.1,1h 33m
236. Un condenado a muerte se escapa,1956,8.2,1h 41m
237. La novicia rebelde,1965,8.1,2h 52m
238. Mi padre y mi hijo,2005,8.2,1h 52m
239. Ser o no ser,1942,8.1,1h 39m
240. The Handmaiden,2016,8.1,2h 25m
241. Camino salvaje,2007,8.1,2h 28m
242. La batalla de Argel,1966,8.1,2h 1m
243. El gigante de hierro,1999,8.1,1h 26m
244. Las viñas de la ira,1940,8.1,2h 9m
245. Hechizo del tiempo,1993,8.0,1h 41m
246. Amores perros,2000,8.0,2h 34m
"247. Rebeca, una mujer inolvidable",1940,8.1,2h 10m
248. Historias cruzadas,2011,8.1,2h 26m
249. La leyenda del indomable,1967,8.0,2h 7m
250. Una voz silenciosa: Koe No Katachi,2016,8.1,2h 10m
